Participant	List	Ambiguity	PreIncongruent	IncongruentAmbiguous	Completed	Trial	Region	LengthofRegion	RT	Subject1	Group1	Level1	EITLevel1	EITScore1	Block1	PresentationOrder	FlankerCorrect	FlankerRT	ComprehensionCheckCorrect	TrimmingHigh	Trimming	NoZeroRTs	Sdev	mean	Max	Outliers	OutliersRemoved	OutliersRemoved	ComprehensionQuestionCalculator	SumCorrectby5	TotalAnswered	PercentCorrect	Length(x-axis)	RT(pre-lineoffit)	ResSlope	ResIntercept	ResExpected	Residual	JegerskiMcCormickStep1	JegerskiMcCormickStep2	JegerskiMcCormickStep3		
1	1	1	0	0	1	23	3	12	1.06912899	1	1	4	5	120	1	68	1	0.641033173	1	 	 	1.06912899	0.477062541	0.911577983	2.104234335	 	1.06912899	1.06912899	1	135	150	0.9	12	1.06912899	0.065635776	0.263141919	1.050771236	0.018357754	23	3	1	17	
1	1	1	0	0	1	23	4	6	0.48321414	1	1	4	5	120	1	68	1	0.641033173	1	 	 	0.48321414	0.477062541	0.911577983	2.104234335	 	0.48321414	0.48321414	1	135	150	0.9	6	0.48321414	0.065635776	0.263141919	0.656956578	-0.173742438	23	3	1	17	
1	1	1	0	0	1	23	5	7	0.86928606	1	1	4	5	120	1	68	1	0.641033173	1	 	 	0.86928606	0.477062541	0.911577983	2.104234335	 	0.86928606	0.86928606	1	135	150	0.9	7	0.86928606	0.065635776	0.263141919	0.722592354	0.146693706	23	3	1	17	
1	1	1	1	1	1	24	1	13	0.769742966	1	1	4	5	120	1	40	1	0.654467821	1	 	 	0.769742966	0.477062541	0.911577983	2.104234335	 	0.769742966	0.769742966	1	135	150	0.9	13	0.769742966	0.065635776	0.263141919	1.116407012	-0.346664047	24	4	1	17	
1	1	1	1	1	1	24	2	8	0.250800133	1	1	4	5	120	1	40	1	0.654467821	1	 	 	0.250800133	0.477062541	0.911577983	2.104234335	 	0.250800133	0.250800133	1	135	150	0.9	8	0.250800133	0.065635776	0.263141919	0.78822813	-0.537427998	24	4	1	17	
1	1	1	1	1	1	24	3	7	0.533221006	1	1	4	5	120	1	40	1	0.654467821	1	 	 	0.533221006	0.477062541	0.911577983	2.104234335	 	0.533221006	0.533221006	1	135	150	0.9	7	0.533221006	0.065635776	0.263141919	0.722592354	-0.189371348	24	4	1	17	
1	1	1	1	1	1	24	4	4	1.439611912	1	1	4	5	120	1	40	1	0.654467821	1	 	 	1.439611912	0.477062541	0.911577983	2.104234335	 	1.439611912	1.439611912	1	135	150	0.9	4	1.439611912	0.065635776	0.263141919	0.525685025	0.913926887	24	4	1	17	
1	1	1	1	1	1	24	5	19	1.653634071	1	1	4	5	120	1	40	1	0.654467821	1	 	 	1.653634071	0.477062541	0.911577983	2.104234335	 	1.653634071	1.653634071	1	135	150	0.9	19	1.653634071	0.065635776	0.263141919	1.510221671	0.143412401	24	4	1	17	
1	1	1	1	1	1	25	1	17	0.784567833	1	1	4	5	120	1	13	0	0.389010906	1	 	 	0.784567833	0.477062541	0.911577983	2.104234335	 	0.784567833	0.784567833	1	135	150	0.9	17	0.784567833	0.065635776	0.263141919	1.378950118	-0.594382285	25	5	1	17	
1	1	1	1	1	1	25	2	6	0.33438015	1	1	4	5	120	1	13	0	0.389010906	1	 	 	0.33438015	0.477062541	0.911577983	2.104234335	 	0.33438015	0.33438015	1	135	150	0.9	6	0.33438015	0.065635776	0.263141919	0.656956578	-0.322576428	25	5	1	17	
1	1	1	1	1	1	25	3	8	0.817128897	1	1	4	5	120	1	13	0	0.389010906	1	 	 	0.817128897	0.477062541	0.911577983	2.104234335	 	0.817128897	0.817128897	1	135	150	0.9	8	0.817128897	0.065635776	0.263141919	0.78822813	0.028900766	25	5	1	17	
1	1	1	1	1	1	25	4	8	0.435506105	1	1	4	5	120	1	13	0	0.389010906	1	 	 	0.435506105	0.477062541	0.911577983	2.104234335	 	0.435506105	0.435506105	1	135	150	0.9	8	0.435506105	0.065635776	0.263141919	0.78822813	-0.352722025	25	5	1	17	
1	1	1	1	1	1	25	5	14	2.690796852	1	1	4	5	120	1	13	0	0.389010906	1	 	 	2.690796852	0.477062541	0.911577983	2.104234335	1	2.104234335	2.690796852	1	135	150	0.9	14	2.104234335	0.065635776	0.263141919	1.182042789	0.922191547	25	5	1	17	
1	1	1	0	0	1	26	1	15	0.903997898	1	1	4	5	120	1	22	1	0.719882965	0	 	 	0.903997898	0.477062541	0.911577983	2.104234335	 	0.903997898	0.903997898	0	135	150	0.9	15	0.903997898	0.065635776	0.263141919	1.247678565	-0.343680667	26	6	1	17	
1	1	1	0	0	1	26	2	6	0.284016132	1	1	4	5	120	1	22	1	0.719882965	0	 	 	0.284016132	0.477062541	0.911577983	2.104234335	 	0.284016132	0.284016132	0	135	150	0.9	6	0.284016132	0.065635776	0.263141919	0.656956578	-0.372940445	26	6	1	17	
1	1	1	0	0	1	26	3	10	1.268949986	1	1	4	5	120	1	22	1	0.719882965	0	 	 	1.268949986	0.477062541	0.911577983	2.104234335	 	1.268949986	1.268949986	0	135	150	0.9	10	1.268949986	0.065635776	0.263141919	0.919499683	0.349450302	26	6	1	17	
1	1	1	0	0	1	26	4	8	1.570499897	1	1	4	5	120	1	22	1	0.719882965	0	 	 	1.570499897	0.477062541	0.911577983	2.104234335	 	1.570499897	1.570499897	0	135	150	0.9	8	1.570499897	0.065635776	0.263141919	0.78822813	0.782271767	26	6	1	17	
1	1	1	0	0	1	26	5	6	0.820495129	1	1	4	5	120	1	22	1	0.719882965	0	 	 	0.820495129	0.477062541	0.911577983	2.104234335	 	0.820495129	0.820495129	0	135	150	0.9	6	0.820495129	0.065635776	0.263141919	0.656956578	0.163538551	26	6	1	17	
1	1	1	0	0	1	27	1	15	0.851142168	1	1	4	5	120	1	52	1	0.672636986	1	 	 	0.851142168	0.477062541	0.911577983	2.104234335	 	0.851142168	0.851142168	1	135	150	0.9	15	0.851142168	0.065635776	0.263141919	1.247678565	-0.396536397	27	7	1	17	
