582.1021 	EXP 	pressSpace: autoDraw = False
582.1021 	EXP 	vocabPicAssoc: text = u'la copa'
582.1021 	EXP 	TranslationTraining: text = u'wineglass'
582.1021 	EXP 	image: image = u'copa'
582.1021 	EXP 	vocabPicAssoc: autoDraw = True
582.1021 	EXP 	TranslationTraining: autoDraw = True
582.1021 	EXP 	image: autoDraw = True
582.1928 	DATA 	Keypress: space
582.2048 	EXP 	New trial (rep=0, index=13): OrderedDict([(u'MatchingSection', u'el porche?'), (u'ColumnA', u'maleta'), (u'ColumnF', u'monedas'), (u'ColumnJ', u'porche'), (u'ColumnSemicolon', u'diamante'), (u'Translation', u'porch'), (u'CorrectAnswer', u'j'), (u'Training', None), (u'TrainingFull', u'el porche'), (u'imagename', u'porche'), (u'Counterbalance', 1)])
582.2233 	WARNING 	Requested image u'porche' not found but similar filename u'porche.jpg' exists. This will be used instead but changing the filename is advised.
582.2530 	EXP 	vocabPicAssoc: autoDraw = False
582.2530 	EXP 	TranslationTraining: autoDraw = False
582.2530 	EXP 	image: autoDraw = False
582.2530 	EXP 	pressSpace: autoDraw = False
582.2530 	EXP 	vocabPicAssoc: text = u'el porche'
582.2530 	EXP 	TranslationTraining: text = u'porch'
582.2530 	EXP 	image: image = u'porche'
582.2530 	EXP 	vocabPicAssoc: autoDraw = True
582.2530 	EXP 	TranslationTraining: autoDraw = True
582.2530 	EXP 	image: autoDraw = True
582.3427 	DATA 	Keypress: space
582.3555 	EXP 	New trial (rep=0, index=14): OrderedDict([(u'MatchingSection', u'vaciar?'), (u'ColumnA', u'cuaderno'), (u'ColumnF', u'escenario'), (u'ColumnJ', u'planos'), (u'ColumnSemicolon', u'vaciar'), (u'Translation', u'to empty'), (u'CorrectAnswer', u'semicolon'), (u'Training', None), (u'TrainingFull', u'vaciar'), (u'imagename', u'vaciar'), (u'Counterbalance', 1)])
582.3730 	WARNING 	Requested image u'vaciar' not found but similar filename u'vaciar.jpg' exists. This will be used instead but changing the filename is advised.
582.4196 	EXP 	vocabPicAssoc: autoDraw = False
582.4196 	EXP 	TranslationTraining: autoDraw = False
582.4196 	EXP 	image: autoDraw = False
582.4196 	EXP 	pressSpace: autoDraw = False
582.4196 	EXP 	vocabPicAssoc: text = u'vaciar'
582.4196 	EXP 	TranslationTraining: text = u'to empty'
582.4196 	EXP 	image: image = u'vaciar'
582.4196 	EXP 	vocabPicAssoc: autoDraw = True
582.4196 	EXP 	TranslationTraining: autoDraw = True
582.4196 	EXP 	image: autoDraw = True
582.5047 	DATA 	Keypress: space
